"checking.status","duration.in.months","credit.history","purpose","amount","savings","employed.since","percentage.of.disposable.income","personal.status.and.sex","cosigners","at.residence.since","property","age.in.years","other.installment.plans","housing","num.credits.at.bank","job","num.dependents","telephone","foreign.worker","good.loan","Good.Loan"
"< 0 DM",24,"paid to date","furniture/equipment",2996,"unknown","< 4 years",2,"male:married/widowed","none",4,"car or other",20,"none","own",1,"skilled employee/official",1,"none","yes",2,"BadLoan"
"< 200 DM",36,"paid to date","furniture/equipment",9034,"< 500 DM","< 1 year",4,"male:single","co-applicant",1,"unknown",29,"none","rent",1,"management/self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes",2,"BadLoan"
"no checking",24,"critical","furniture/equipment",1585,"< 100 DM","< 7 years",4,"male:single","none",3,"savings/life ins",40,"none","own",2,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 200 DM",18,"paid to date","radio/television",1301,"< 100 DM",">= 7 years",4,"male:married/widowed","guarantor",2,"real estate",32,"none","own",1,"unskilled - resident",1,"none","yes",1,"GoodLoan"
">= 200 DM",6,"critical","car (new)",1323,"< 500 DM",">= 7 years",2,"male:divorced/separated","none",4,"car or other",28,"none","own",2,"skilled employee/official",2,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 0 DM",24,"paid to date","car (new)",3123,"< 100 DM","< 1 year",4,"female:divorced/separated/married","none",1,"savings/life ins",27,"none","own",1,"skilled employee/official",1,"none","yes",2,"BadLoan"
"< 0 DM",36,"paid to date","car (used)",5493,"< 100 DM",">= 7 years",2,"male:single","none",4,"unknown",42,"none","for free",1,"skilled employee/official",2,"none","yes",1,"GoodLoan"
">= 200 DM",9,"paid to date","radio/television",1126,"< 500 DM",">= 7 years",2,"male:divorced/separated","none",4,"real estate",49,"none","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 200 DM",24,"critical","radio/television",1216,"< 500 DM","< 1 year",4,"male:single","none",4,"unknown",38,"bank","own",2,"skilled employee/official",2,"none","yes",2,"BadLoan"
"< 0 DM",24,"paid to date","car (new)",1207,"< 100 DM","< 1 year",4,"female:divorced/separated/married","none",4,"savings/life ins",24,"none","rent",1,"skilled employee/official",1,"none","yes",2,"BadLoan"
"no checking",10,"paid to date","car (new)",1309,"unknown","< 4 years",4,"male:single","guarantor",4,"savings/life ins",27,"none","own",1,"unskilled - resident",1,"none","yes",2,"BadLoan"
">= 200 DM",15,"critical","car (used)",2360,"< 1000 DM","< 4 years",2,"male:single","none",2,"car or other",36,"none","own",1,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 200 DM",15,"fully paid at this bank","car (new)",6850,"< 500 DM","unemployed",1,"male:single","none",2,"savings/life ins",34,"none","own",1,"management/self-employed/highly qualified employee/ officer",2,"yes, registered under the customers name","yes",2,"BadLoan"
"no checking",24,"paid to date","radio/television",1413,"< 100 DM","< 4 years",4,"male:married/widowed","none",2,"savings/life ins",28,"none","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"no checking",39,"paid to date","car (used)",8588,"< 500 DM",">= 7 years",4,"male:single","none",2,"car or other",45,"none","own",1,"management/self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 0 DM",12,"paid to date","car (new)",759,"< 100 DM","< 7 years",4,"male:single","none",2,"real estate",26,"none","own",1,"skilled employee/official",1,"none","yes",2,"BadLoan"
"no checking",36,"paid to date","car (used)",4686,"< 100 DM","< 4 years",2,"male:single","none",2,"unknown",32,"none","for free",1,"management/self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes",1,"GoodLoan"
">= 200 DM",15,"paid to date","business",2687,"< 100 DM","< 7 years",2,"male:single","none",4,"savings/life ins",26,"none","rent",1,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 200 DM",12,"past delays","radio/television",585,"< 100 DM","< 4 years",4,"male:married/widowed","co-applicant",4,"real estate",20,"none","rent",2,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"no checking",24,"paid to date","car (new)",2255,"unknown","< 1 year",4,"male:single","none",1,"savings/life ins",54,"none","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 0 DM",6,"critical","car (new)",609,"< 100 DM","< 7 years",4,"female:divorced/separated/married","none",3,"savings/life ins",37,"none","own",2,"skilled employee/official",1,"none","no",1,"GoodLoan"
"< 0 DM",6,"critical","car (new)",1361,"< 100 DM","< 1 year",2,"male:single","none",4,"real estate",40,"none","own",1,"unskilled - resident",2,"none","no",1,"GoodLoan"
"no checking",36,"critical","furniture/equipment",7127,"< 100 DM","< 1 year",2,"female:divorced/separated/married","none",4,"savings/life ins",23,"none","rent",2,"skilled employee/official",1,"yes, registered under the customers name","yes",2,"BadLoan"
"< 0 DM",6,"paid to date","car (new)",1203,"< 500 DM",">= 7 years",3,"male:single","none",2,"savings/life ins",43,"none","own",1,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"no checking",6,"critical","radio/television",700,"unknown",">= 7 years",4,"male:single","none",4,"unknown",36,"none","for free",2,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"no checking",24,"critical","repairs",5507,"< 100 DM",">= 7 years",3,"male:single","none",4,"unknown",44,"none","for free",2,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 0 DM",18,"paid to date","radio/television",3190,"< 100 DM","< 4 years",2,"female:divorced/separated/married","none",2,"real estate",24,"none","own",1,"skilled employee/official",1,"none","yes",2,"BadLoan"
"< 0 DM",48,"fully paid","furniture/equipment",7119,"< 100 DM","< 4 years",3,"male:single","none",4,"unknown",53,"none","for free",2,"skilled employee/official",2,"none","yes",2,"BadLoan"
"no checking",24,"paid to date","car (used)",3488,"< 500 DM","< 7 years",3,"female:divorced/separated/married","none",4,"car or other",23,"none","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 200 DM",18,"paid to date","radio/television",1113,"< 100 DM","< 4 years",4,"female:divorced/separated/married","guarantor",4,"real estate",26,"none","own",1,"unskilled - resident",2,"none","yes",1,"GoodLoan"
"< 200 DM",26,"paid to date","car (used)",7966,"< 100 DM","< 1 year",2,"male:single","none",3,"car or other",30,"none","own",2,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"no checking",15,"critical","education",1532,"< 500 DM","< 4 years",4,"female:divorced/separated/married","none",3,"car or other",31,"none","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"no checking",4,"critical","radio/television",1503,"< 100 DM","< 7 years",2,"male:single","none",1,"real estate",42,"none","own",2,"unskilled - resident",2,"none","yes",1,"GoodLoan"
"< 0 DM",36,"paid to date","radio/television",2302,"< 100 DM","< 4 years",4,"male:divorced/separated","none",4,"car or other",31,"none","rent",1,"skilled employee/official",1,"none","yes",2,"BadLoan"
"< 0 DM",6,"paid to date","car (new)",662,"< 100 DM","< 1 year",3,"male:single","none",4,"real estate",41,"none","own",1,"unskilled - resident",2,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 200 DM",36,"paid to date","education",2273,"< 100 DM","< 7 years",3,"male:single","none",1,"car or other",32,"none","own",2,"skilled employee/official",2,"none","yes",1,"GoodLoan"
"< 200 DM",15,"paid to date","car (new)",2631,"< 500 DM","< 4 years",2,"female:divorced/separated/married","none",4,"car or other",28,"none","rent",2,"skilled employee/official",1,"yes, registered under the customers name","yes",2,"BadLoan"
"no checking",12,"past delays","car (used)",1503,"< 100 DM","< 4 years",4,"male:married/widowed","none",4,"real estate",41,"none","rent",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"no checking",24,"paid to date","radio/television",1311,"< 500 DM","< 7 years",4,"male:married/widowed","none",3,"savings/life ins",26,"none","own",1,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"no checking",24,"paid to date","radio/television",3105,"unknown","< 1 year",4,"male:single","none",2,"car or other",25,"none","own",2,"skilled employee/official",1,"none","yes",1,"GoodLoan"
">= 200 DM",21,"critical","education",2319,"< 100 DM","< 1 year",2,"male:divorced/separated","none",1,"car or other",33,"none","rent",1,"skilled employee/official",1,"none","yes",2,"BadLoan"
"< 0 DM",6,"paid to date","car (new)",1374,"unknown","unemployed",4,"female:divorced/separated/married","none",3,"savings/life ins",75,"none","own",1,"management/self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 200 DM",18,"critical","furniture/equipment",3612,"< 100 DM",">= 7 years",3,"female:divorced/separated/married","none",4,"savings/life ins",37,"none","own",1,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 0 DM",48,"paid to date","car (new)",7763,"< 100 DM",">= 7 years",4,"male:single","none",4,"unknown",42,"bank","for free",1,"management/self-employed/highly qualified employee/ officer",1,"none","yes",2,"BadLoan"
">= 200 DM",18,"paid to date","furniture/equipment",3049,"< 100 DM","< 1 year",1,"female:divorced/separated/married","none",1,"savings/life ins",45,"stores","own",1,"unskilled - resident",1,"none","yes",1,"GoodLoan"
"< 200 DM",12,"paid to date","radio/television",1534,"< 100 DM","< 1 year",1,"male:married/widowed","none",1,"real estate",23,"none","rent",1,"skilled employee/official",1,"none","yes",2,"BadLoan"
"no checking",24,"past delays","car (new)",2032,"< 100 DM",">= 7 years",4,"male:single","none",4,"unknown",60,"none","for free",2,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 0 DM",30,"paid to date","furniture/equipment",6350,"unknown",">= 7 years",4,"male:single","none",4,"savings/life ins",31,"none","own",1,"skilled employee/official",1,"none","yes",2,"BadLoan"
">= 200 DM",18,"paid to date","furniture/equipment",2864,"< 100 DM","< 4 years",2,"male:single","none",1,"real estate",34,"none","own",1,"unskilled - resident",2,"none","yes",2,"BadLoan"
"no checking",12,"critical","car (new)",1255,"< 100 DM",">= 7 years",4,"male:single","none",4,"real estate",61,"none","own",2,"unskilled - resident",1,"none","yes",1,"GoodLoan"
"< 0 DM",24,"past delays","car (new)",1333,"< 100 DM","unemployed",4,"male:single","none",2,"real estate",43,"none","for free",2,"skilled employee/official",2,"none","yes",2,"BadLoan"
"no checking",24,"critical","car (new)",2022,"< 100 DM","< 4 years",4,"female:divorced/separated/married","none",4,"car or other",37,"none","own",1,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"no checking",24,"paid to date","radio/television",1552,"< 100 DM","< 7 years",3,"male:single","none",1,"car or other",32,"bank","own",1,"skilled employee/official",2,"none","yes",1,"GoodLoan"
"< 0 DM",12,"fully paid at this bank","radio/television",626,"< 100 DM","< 4 years",4,"female:divorced/separated/married","none",4,"real estate",24,"bank","own",1,"unskilled - resident",1,"none","yes",2,"BadLoan"
"no checking",48,"critical","car (used)",8858,"unknown","< 7 years",2,"male:single","none",1,"unknown",35,"none","for free",2,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"no checking",12,"critical","repairs",996,"unknown","< 7 years",4,"female:divorced/separated/married","none",4,"real estate",23,"none","own",2,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"no checking",6,"fully paid at this bank","radio/television",1750,"< 1000 DM",">= 7 years",2,"male:single","none",4,"savings/life ins",45,"bank","own",1,"unskilled - resident",2,"none","yes",1,"GoodLoan"
"< 0 DM",48,"paid to date","radio/television",6999,"< 100 DM","< 7 years",1,"male:married/widowed","guarantor",1,"real estate",34,"none","own",2,"skilled employee/official",1,"yes, registered under the customers name","yes",2,"BadLoan"
"< 200 DM",12,"critical","car (new)",1995,"< 500 DM","< 1 year",4,"male:single","none",1,"car or other",27,"none","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 200 DM",9,"paid to date","education",1199,"< 100 DM","< 7 years",4,"female:divorced/separated/married","none",4,"savings/life ins",67,"none","own",2,"management/self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 200 DM",12,"paid to date","radio/television",1331,"< 100 DM","< 1 year",2,"male:single","none",1,"car or other",22,"stores","own",1,"skilled employee/official",1,"none","yes",2,"BadLoan"
"< 200 DM",18,"fully paid","car (new)",2278,"< 500 DM","< 1 year",3,"female:divorced/separated/married","none",3,"car or other",28,"none","own",2,"skilled employee/official",1,"none","yes",2,"BadLoan"
"no checking",21,"fully paid","car (new)",5003,"unknown","< 4 years",1,"female:divorced/separated/married","none",4,"savings/life ins",29,"bank","own",2,"skilled employee/official",1,"yes, registered under the customers name","yes",2,"BadLoan"
"< 0 DM",24,"fully paid at this bank","furniture/equipment",3552,"< 100 DM","< 7 years",3,"male:single","none",4,"car or other",27,"bank","own",1,"skilled employee/official",1,"none","yes",2,"BadLoan"
"< 200 DM",18,"critical","furniture/equipment",1928,"< 100 DM","< 1 year",2,"male:single","none",2,"real estate",31,"none","own",2,"unskilled - resident",1,"none","yes",2,"BadLoan"
"< 0 DM",24,"paid to date","car (used)",2964,"unknown",">= 7 years",4,"male:single","none",4,"unknown",49,"bank","for free",1,"skilled employee/official",2,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 0 DM",24,"fully paid at this bank","radio/television",1546,"< 100 DM","< 7 years",4,"male:single","guarantor",4,"car or other",24,"bank","rent",1,"unskilled - resident",1,"none","yes",2,"BadLoan"
">= 200 DM",6,"past delays","radio/television",683,"< 100 DM","< 1 year",2,"female:divorced/separated/married","none",1,"savings/life ins",29,"bank","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 200 DM",36,"paid to date","car (new)",12389,"unknown","< 4 years",1,"male:single","none",4,"unknown",37,"none","for free",1,"skilled employee/official",1,"yes, registered under the customers name","yes",2,"BadLoan"
"< 200 DM",24,"past delays","business",4712,"unknown","< 4 years",4,"male:single","none",2,"savings/life ins",37,"bank","own",2,"management/self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 200 DM",24,"past delays","radio/television",1553,"< 500 DM","< 7 years",3,"female:divorced/separated/married","none",2,"savings/life ins",23,"none","rent",2,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 0 DM",12,"paid to date","car (new)",1372,"< 100 DM","< 7 years",2,"male:divorced/separated","none",3,"car or other",36,"none","own",1,"skilled employee/official",1,"none","yes",2,"BadLoan"
"no checking",24,"critical","radio/television",2578,">= 1000 DM",">= 7 years",2,"male:single","none",2,"car or other",34,"none","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 200 DM",48,"paid to date","radio/television",3979,"unknown","< 7 years",4,"male:single","none",1,"car or other",41,"none","own",2,"skilled employee/official",2,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 0 DM",48,"paid to date","radio/television",6758,"< 100 DM","< 4 years",3,"female:divorced/separated/married","none",2,"car or other",31,"none","own",1,"skilled employee/official",1,"yes, registered under the customers name","yes",2,"BadLoan"
"< 0 DM",24,"paid to date","furniture/equipment",3234,"< 100 DM","< 1 year",4,"female:divorced/separated/married","none",4,"real estate",23,"none","rent",1,"unskilled - resident",1,"yes, registered under the customers name","yes",2,"BadLoan"
"no checking",30,"critical","radio/television",5954,"< 100 DM","< 7 years",3,"male:single","co-applicant",2,"car or other",38,"none","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"no checking",24,"paid to date","car (used)",5433,"unknown","unemployed",2,"female:divorced/separated/married","none",4,"savings/life ins",26,"none","rent",1,"management/self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 0 DM",15,"paid to date","business",806,"< 100 DM","< 4 years",4,"female:divorced/separated/married","none",4,"savings/life ins",22,"none","own",1,"unskilled - resident",1,"none","yes",1,"GoodLoan"
"< 200 DM",9,"paid to date","radio/television",1082,"< 100 DM",">= 7 years",4,"male:single","none",4,"car or other",27,"none","own",2,"unskilled - resident",1,"none","yes",1,"GoodLoan"
"no checking",15,"critical","furniture/equipment",2788,"< 100 DM","< 7 years",2,"female:divorced/separated/married","co-applicant",3,"car or other",24,"bank","own",2,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 200 DM",12,"paid to date","radio/television",2930,"< 100 DM","< 7 years",2,"female:divorced/separated/married","none",1,"real estate",27,"none","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"no checking",24,"critical","education",1927,"unknown","< 4 years",3,"female:divorced/separated/married","none",2,"car or other",33,"none","own",2,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 200 DM",36,"critical","car (new)",2820,"< 100 DM","< 1 year",4,"male:divorced/separated","none",4,"car or other",27,"none","own",2,"skilled employee/official",1,"none","yes",2,"BadLoan"
"no checking",24,"paid to date","retraining",937,"< 100 DM","< 1 year",4,"male:married/widowed","none",3,"car or other",27,"none","own",2,"unskilled - resident",1,"none","yes",1,"GoodLoan"
"< 200 DM",18,"critical","car (new)",1056,"< 100 DM",">= 7 years",3,"male:single","guarantor",3,"real estate",30,"bank","own",2,"skilled employee/official",1,"none","yes",2,"BadLoan"
"< 200 DM",12,"critical","car (new)",3124,"< 100 DM","< 1 year",1,"male:single","none",3,"real estate",49,"bank","own",2,"unskilled - resident",2,"none","yes",1,"GoodLoan"
"no checking",9,"paid to date","furniture/equipment",1388,"< 100 DM","< 4 years",4,"female:divorced/separated/married","none",2,"real estate",26,"none","rent",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 200 DM",36,"paid to date","repairs",2384,"< 100 DM","< 1 year",4,"male:single","none",1,"unknown",33,"none","rent",1,"unskilled - resident",1,"none","yes",2,"BadLoan"
"no checking",12,"paid to date","car (new)",2133,"unknown",">= 7 years",4,"female:divorced/separated/married","none",4,"unknown",52,"none","for free",1,"management/self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 0 DM",18,"paid to date","furniture/equipment",2039,"< 100 DM","< 4 years",1,"female:divorced/separated/married","none",4,"real estate",20,"bank","rent",1,"skilled employee/official",1,"none","yes",2,"BadLoan"
"< 0 DM",9,"critical","car (new)",2799,"< 100 DM","< 4 years",2,"male:single","none",2,"real estate",36,"none","rent",2,"skilled employee/official",2,"none","yes",1,"GoodLoan"
"< 0 DM",12,"paid to date","furniture/equipment",1289,"< 100 DM","< 4 years",4,"male:single","guarantor",1,"savings/life ins",21,"none","own",1,"unskilled - resident",1,"none","yes",1,"GoodLoan"
"< 0 DM",18,"paid to date","domestic appliances",1217,"< 100 DM","< 4 years",4,"male:married/widowed","none",3,"real estate",47,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name","yes",2,"BadLoan"
"< 0 DM",12,"critical","furniture/equipment",2246,"< 100 DM",">= 7 years",3,"male:single","none",3,"savings/life ins",60,"none","own",2,"skilled employee/official",1,"none","yes",2,"BadLoan"
"< 0 DM",12,"critical","radio/television",385,"< 100 DM","< 7 years",4,"female:divorced/separated/married","none",3,"real estate",58,"none","own",4,"unskilled - resident",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 200 DM",24,"past delays","car (new)",1965,"unknown","< 4 years",4,"female:divorced/separated/married","none",4,"car or other",42,"none","rent",2,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"no checking",21,"paid to date","business",1572,">= 1000 DM",">= 7 years",4,"female:divorced/separated/married","none",4,"real estate",36,"bank","own",1,"unskilled - resident",1,"none","yes",1,"GoodLoan"
"< 200 DM",24,"paid to date","car (new)",2718,"< 100 DM","< 4 years",3,"female:divorced/separated/married","none",4,"savings/life ins",20,"none","rent",1,"unskilled - resident",1,"yes, registered under the customers name","yes",2,"BadLoan"
"< 0 DM",24,"fully paid at this bank","others",1358,"unknown",">= 7 years",4,"male:single","none",3,"car or other",40,"stores","own",1,"management/self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes",2,"BadLoan"
"< 200 DM",6,"fully paid at this bank","car (new)",931,"< 500 DM","< 1 year",1,"female:divorced/separated/married","none",1,"savings/life ins",32,"stores","own",1,"unskilled - resident",1,"none","yes",2,"BadLoan"
"< 0 DM",24,"paid to date","car (new)",1442,"< 100 DM","< 7 years",4,"female:divorced/separated/married","none",4,"car or other",23,"none","rent",2,"skilled employee/official",1,"none","yes",2,"BadLoan"
"< 200 DM",24,"fully paid","business",4241,"< 100 DM","< 4 years",1,"male:single","none",4,"real estate",36,"none","own",3,"unskilled - resident",1,"yes, registered under the customers name","yes",2,"BadLoan"
"no checking",18,"critical","car (new)",2775,"< 100 DM","< 7 years",2,"male:single","none",2,"savings/life ins",31,"bank","own",2,"skilled employee/official",1,"none","yes",2,"BadLoan"
"no checking",24,"past delays","business",3863,"< 100 DM","< 4 years",1,"male:single","none",2,"unknown",32,"none","for free",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 200 DM",7,"paid to date","radio/television",2329,"< 100 DM","< 1 year",1,"female:divorced/separated/married","guarantor",1,"real estate",45,"none","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 200 DM",9,"paid to date","furniture/equipment",918,"< 100 DM","< 4 years",4,"female:divorced/separated/married","none",1,"savings/life ins",30,"none","own",1,"skilled employee/official",1,"none","yes",2,"BadLoan"
"< 200 DM",24,"fully paid at this bank","education",1837,"< 100 DM","< 7 years",4,"female:divorced/separated/married","none",4,"unknown",34,"bank","for free",1,"unskilled - resident",1,"none","yes",2,"BadLoan"
"no checking",36,"paid to date","furniture/equipment",3349,"< 100 DM","< 4 years",4,"female:divorced/separated/married","none",2,"car or other",28,"none","own",1,"management/self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes",2,"BadLoan"
">= 200 DM",10,"paid to date","furniture/equipment",1275,"< 100 DM","< 1 year",4,"female:divorced/separated/married","none",2,"savings/life ins",23,"none","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 0 DM",24,"fully paid at this bank","furniture/equipment",2828,"< 1000 DM","< 4 years",4,"male:single","none",4,"real estate",22,"stores","own",1,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"no checking",24,"critical","business",4526,"< 100 DM","< 4 years",3,"male:single","none",2,"real estate",74,"none","own",1,"management/self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 200 DM",36,"paid to date","radio/television",2671,"< 500 DM","< 4 years",4,"female:divorced/separated/married","co-applicant",4,"unknown",50,"none","for free",1,"skilled employee/official",1,"none","yes",2,"BadLoan"
"no checking",18,"paid to date","radio/television",2051,"< 100 DM","< 1 year",4,"male:single","none",1,"real estate",33,"none","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"no checking",15,"paid to date","car (used)",1300,"unknown",">= 7 years",4,"male:single","none",4,"unknown",45,"bank","for free",1,"skilled employee/official",2,"none","yes",1,"GoodLoan"
"< 0 DM",12,"paid to date","domestic appliances",741,"< 500 DM","unemployed",4,"female:divorced/separated/married","none",3,"savings/life ins",22,"none","own",1,"skilled employee/official",1,"none","yes",2,"BadLoan"
">= 200 DM",10,"paid to date","car (new)",1240,"< 500 DM",">= 7 years",1,"female:divorced/separated/married","none",4,"unknown",48,"none","for free",1,"unskilled - resident",2,"none","yes",2,"BadLoan"
"< 0 DM",21,"paid to date","radio/television",3357,">= 1000 DM","< 1 year",4,"female:divorced/separated/married","none",2,"car or other",29,"bank","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 0 DM",24,"fully paid at this bank","car (used)",3632,"< 100 DM","< 4 years",1,"female:divorced/separated/married","guarantor",4,"car or other",22,"bank","rent",1,"skilled employee/official",1,"none","no",1,"GoodLoan"
"no checking",18,"past delays","furniture/equipment",1808,"< 100 DM","< 7 years",4,"female:divorced/separated/married","none",1,"real estate",22,"none","own",1,"skilled employee/official",1,"none","yes",2,"BadLoan"
"< 200 DM",48,"fully paid","business",12204,"unknown","< 4 years",2,"male:single","none",2,"car or other",48,"bank","own",1,"management/self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 200 DM",60,"past delays","radio/television",9157,"unknown","< 4 years",2,"male:single","none",2,"unknown",27,"none","for free",1,"management/self-employed/highly qualified employee/ officer",1,"none","yes",1,"GoodLoan"
"< 0 DM",6,"critical","car (new)",3676,"< 100 DM","< 4 years",1,"male:single","none",3,"real estate",37,"none","rent",3,"skilled employee/official",2,"none","yes",1,"GoodLoan"
"< 200 DM",30,"paid to date","furniture/equipment",3441,"< 500 DM","< 4 years",2,"female:divorced/separated/married","co-applicant",4,"car or other",21,"none","rent",1,"skilled employee/official",1,"none","yes",2,"BadLoan"
"no checking",12,"paid to date","car (new)",640,"< 100 DM","< 4 years",4,"male:divorced/separated","none",2,"real estate",49,"none","own",1,"unskilled - resident",1,"none","yes",1,"GoodLoan"
"< 200 DM",21,"critical","business",3652,"< 100 DM","< 7 years",2,"male:single","none",3,"savings/life ins",27,"none","own",2,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"no checking",18,"critical","car (new)",1530,"< 100 DM","< 4 years",3,"male:single","none",2,"savings/life ins",32,"bank","own",2,"skilled employee/official",1,"none","yes",2,"BadLoan"
"no checking",48,"paid to date","business",3914,"unknown","< 4 years",4,"male:divorced/separated","none",2,"real estate",38,"bank","own",1,"skilled employee/official",1,"none","yes",2,"BadLoan"
"< 0 DM",12,"paid to date","furniture/equipment",1858,"< 100 DM","< 1 year",4,"female:divorced/separated/married","none",1,"car or other",22,"none","rent",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 0 DM",18,"paid to date","radio/television",2600,"< 100 DM","< 4 years",4,"male:single","none",4,"unknown",65,"none","for free",2,"skilled employee/official",1,"none","yes",2,"BadLoan"
"no checking",15,"paid to date","radio/television",1979,"unknown",">= 7 years",4,"male:single","none",2,"car or other",35,"none","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
">= 200 DM",6,"paid to date","furniture/equipment",2116,"< 100 DM","< 4 years",2,"male:single","none",2,"real estate",41,"none","own",1,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"< 200 DM",9,"fully paid at this bank","car (new)",1437,"< 500 DM","< 7 years",2,"male:single","none",3,"unknown",29,"none","own",1,"skilled employee/official",1,"none","yes",2,"BadLoan"
"no checking",42,"critical","furniture/equipment",4042,"< 1000 DM","< 4 years",4,"male:single","none",4,"real estate",36,"none","own",2,"skilled employee/official",1,"yes, registered under the customers name","yes",1,"GoodLoan"
"no checking",9,"paid to date","education",3832,"unknown",">= 7 years",1,"male:single","none",4,"real estate",64,"none","own",1,"unskilled - resident",1,"none","yes",1,"GoodLoan"
"< 0 DM",24,"paid to date","radio/television",3660,"< 100 DM","< 4 years",2,"female:divorced/separated/married","none",4,"car or other",28,"none","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"< 0 DM",18,"fully paid at this bank","furniture/equipment",1553,"< 100 DM","< 4 years",4,"male:single","none",3,"car or other",44,"bank","own",1,"skilled employee/official",1,"none","yes",2,"BadLoan"
"< 200 DM",15,"paid to date","radio/television",1444,"unknown","< 1 year",4,"male:single","none",1,"savings/life ins",23,"none","own",1,"skilled employee/official",1,"none","yes",1,"GoodLoan"
"no checking",9,"paid to date","furniture/equipment",1980,"< 100 DM","< 1 year",2,"female:divorced/separated/married","co-applicant",2,"car or other",19,"none","rent",2,"skilled employee/official",1,"none","yes",2,"BadLoan"
"< 200 DM",24,"paid to date","car (new)",1355,"< 100 DM","< 1 year",3,"female:divorced/separated/married","none",4,"car or other",25,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name","yes",2,"BadLoan"
"no checking",12,"paid to date","education",1393,"< 100 DM",">= 7 years",4,"male:single","none",4,"savings/life ins",47,"bank","own",3,"skilled employee/official",2,"yes, registered under the customers name","yes",1,"GoodLoan"
